StoreID,City,State,Date Last Winter Freeze,Date First Winter Freeze,Growing Season Length,Precip Jan,Precip Feb,Precip Mar,Precip Apr,Precip May,Precip Jun,Precip Jul,Precip Aug,Precip Sep,Precip Oct,Precip Nov,Precip Dec,Rain Jan,Rain Feb,Rain Mar,Rain Apr,Rain May,Rain Jun,Rain Jul,Rain Aug,Rain Sep,Rain Oct,Rain Nov,Rain Dec,Snow Jan,Snow Feb,Snow Mar,Snow Apr,Snow May,Snow Jun,Snow Jul,Snow Aug,Snow Sep,Snow Oct,Snow Nov,Snow Dec,Temp Jan,Temp Feb,Temp Mar,Temp Apr,Temp May,Temp Jun,Temp Jul,Temp Aug,Temp Sep,Temp Oct,Temp Nov,Temp Dec,Elevation,Longitude,Latitude,LastWinterFreezeDiff,FirstWinterFreezeDiff
3605,Harlingen,TX,2009-02-21,2009-12-17,365,1.094,0.74,0.736,1.092,3.096,3.972,2.86,1.324,5.362,2.102,0.68,1.632,1.094,0.74,0.736,1.092,3.096,3.972,2.86,1.324,5.362,2.102,0.68,1.632,0,0,0,0,0,0,0,0,0,0,0,0,58.62,62.17,68.85,73.77,79.35,83.06,84.46,84.54,81.29,74.82,67.28,60.43,36.4,-97.7749023317393,26.2009833610599,-61,72
3751,North Lauderdale,FL,2009-02-08,2010-01-10,363,0.98,2.49,2.866,2.652,3.588,6.218,4.12,6.57,8.11,2.936,1.518,3.252,0.98,2.49,2.866,2.652,3.588,6.218,4.12,6.57,8.11,2.936,1.518,3.252,0,0,0,0,0,0,0,0,0,0,0,0,67.33,67.86,71.1,74.49,78.53,81.6,83,83.3,82.29,78.69,74.04,69.29,9.98,-80.2178309366378,26.2157451311938,-74,96
3749,Pompano Beach,FL,2009-02-08,2010-01-10,361,0.982,2.484,2.942,2.712,3.714,6.398,4.192,6.67,8.174,2.97,1.552,3.314,0.982,2.484,2.942,2.712,3.714,6.398,4.192,6.67,8.174,2.97,1.552,3.314,0,0,0,0,0,0,0,0,0,0,0,0,67.2,67.6,71.1,74.7,78.7,81.9,83.3,83.6,82.5,78.6,74,69.2,11.79,-80.1200539106085,26.2349294024009,-74,96
3758,Margate,FL,2009-02-08,2010-01-10,363,0.982,2.484,2.892,2.684,3.634,6.316,4.152,6.612,8.15,2.944,1.53,3.264,0.982,2.484,2.892,2.684,3.634,6.316,4.152,6.612,8.15,2.944,1.53,3.264,0,0,0,0,0,0,0,0,0,0,0,0,67.32,67.83,71.1,74.51,78.54,81.63,83.03,83.33,82.31,78.68,74.04,69.28,10.56,-80.2086829361295,26.2503933722111,-74,96
3629,Palmhurst,TX,2009-02-16,2009-12-21,361,1.164,0.694,0.404,1.316,1.21,4.824,3.416,2.148,2.84,1.426,0.252,1.8,1.164,0.694,0.404,1.316,1.21,4.824,3.416,2.148,2.84,1.426,0.252,1.8,0,0,0,0,0,0,0,0,0,0,0,0,58.76,62.47,69.58,75,80.52,84.3,85.77,86.09,82.53,75.71,67.5,60.09,147.19,-98.2966125083018,26.3014060064463,-66,76
3748,Coral Springs,FL,2009-02-08,2010-01-10,364,0.982,2.478,3.05,2.806,3.898,6.694,4.302,6.818,8.282,3.012,1.604,3.4,0.982,2.478,3.05,2.806,3.898,6.694,4.302,6.818,8.282,3.012,1.604,3.4,0,0,0,0,0,0,0,0,0,0,0,0,67.2,67.6,71.1,74.7,78.7,81.9,83.3,83.6,82.5,78.6,74,69.2,12.04,-80.2259186397229,26.3071989651522,-74,96
3560,Mission,TX,2009-02-08,2009-12-13,363,1.18,0.71,0.412,1.31,1.202,4.786,3.398,2.148,2.84,1.432,0.264,1.794,1.18,0.71,0.412,1.31,1.202,4.786,3.398,2.148,2.84,1.432,0.264,1.794,0,0,0,0,0,0,0,0,0,0,0,0,59.06,62.74,69.79,75.05,80.4,84.2,85.6,85.98,82.48,75.84,67.72,60.48,122.72,-98.4163856893773,26.331108543973,-74,68
3631,Penitas,TX,2009-02-16,2009-12-21,360,1.216,0.736,0.446,1.308,1.192,4.702,3.358,2.144,2.86,1.448,0.298,1.772,1.216,0.736,0.446,1.308,1.192,4.702,3.358,2.144,2.86,1.448,0.298,1.772,0,0,0,0,0,0,0,0,0,0,0,0,58.61,62.45,69.69,75.35,81.02,84.69,86.29,86.38,82.72,75.68,67.36,59.85,165.09,-98.4163856893773,26.331108543973,-66,76
3750,Delray Beach,FL,2009-02-08,2010-01-10,366,0.976,2.508,4.202,3.286,5.596,7.972,5.038,7.968,8.55,3.528,2.116,4.668,0.976,2.508,4.202,3.286,5.596,7.972,5.038,7.968,8.55,3.528,2.116,4.668,0,0,0,0,0,0,0,0,0,0,0,0,66.79,67.43,70.89,74.33,78.49,81.61,82.97,83.27,82.17,78.39,73.63,68.83,15.08,-80.1345756687577,26.454074477158,-74,96
3775,Boynton Beach,FL,2009-02-10,2010-01-17,365,0.972,2.516,4.362,3.342,5.824,8.108,5.13,8.114,8.566,3.6,2.182,4.854,0.972,2.516,4.362,3.342,5.824,8.108,5.13,8.114,8.566,3.6,2.182,4.854,0,0,0,0,0,0,0,0,0,0,0,0,66.35,67.26,70.68,73.94,78.28,81.31,82.62,82.92,81.82,78.18,73.24,68.44,15.94,-80.1065747713525,26.5249787120727,-72,103
3652,Clewiston,FL,2009-02-14,2010-01-06,362,0.976,1.486,2.992,2.188,3.858,8.352,5.828,7.72,8.95,1.946,1.07,3.014,0.976,1.486,2.992,2.188,3.858,8.352,5.828,7.72,8.95,1.946,1.07,3.014,0,0,0,0,0,0,0,0,0,0,0,0,63.87,65.24,69.14,72.83,77.52,80.96,82.19,82.24,81.33,76.96,71.46,65.67,19.41,-81.0081416359228,26.5396187299794,-68,92
3663,Lehigh Acres,FL,2009-01-31,2010-01-08,364,1.07,0.87,2.198,1.426,2.65,9.054,6.074,6.726,8.908,0.73,0.412,2.048,1.07,0.87,2.198,1.426,2.65,9.054,6.074,6.726,8.908,0.73,0.412,2.048,0,0,0,0,0,0,0,0,0,0,0,0,64.02,65.22,69.06,72.76,77.92,81.42,82.45,82.63,81.55,76.84,70.98,65.68,25.82,-81.7002684560174,26.6389309095122,-82,94
3774,Greenacres,FL,2009-02-10,2010-01-17,363,0.972,2.518,4.388,3.35,5.864,8.126,5.144,8.142,8.568,3.612,2.196,4.886,0.972,2.518,4.388,3.35,5.864,8.126,5.144,8.142,8.568,3.612,2.196,4.886,0,0,0,0,0,0,0,0,0,0,0,0,65.95,66.91,70.24,73.35,77.78,80.89,82.19,82.49,81.34,77.65,72.65,67.92,16.47,-80.1276929615832,26.6598041274642,-72,103
3660,North Fort Myers,FL,2009-01-31,2010-01-08,366,1.032,1.296,2.826,1.832,3.606,8.658,7.074,9.924,9.738,1.652,0.72,2.54,1.032,1.296,2.826,1.832,3.606,8.658,7.074,9.924,9.738,1.652,0.72,2.54,0,0,0,0,0,0,0,0,0,0,0,0,64.86,65.96,69.86,73.56,78.76,82.18,82.99,83.09,82.09,77.47,71.66,66.36,10.76,-81.9246750647074,26.7109783426009,-82,94
3668,West Palm Beach,FL,2009-02-10,2010-01-17,365,0.972,2.518,4.386,3.35,5.862,8.126,5.144,8.14,8.57,3.61,2.196,4.884,0.972,2.518,4.386,3.35,5.862,8.126,5.144,8.14,8.57,3.61,2.196,4.884,0,0,0,0,0,0,0,0,0,0,0,0,65.7,66.61,69.88,72.9,77.34,80.57,81.87,82.17,80.98,77.2,72.2,67.53,16.17,-80.1988464476216,26.72024768155,-72,103
3776,Lake Park,FL,2009-02-10,2010-01-17,361,0.972,2.518,4.386,3.35,5.862,8.126,5.144,8.142,8.568,3.612,2.196,4.884,0.972,2.518,4.386,3.35,5.862,8.126,5.144,8.142,8.568,3.612,2.196,4.884,0,0,0,0,0,0,0,0,0,0,0,0,66.13,67.12,70.5,73.68,78.09,81.12,82.42,82.72,81.6,77.98,72.98,68.2,15.15,-80.0767004466929,26.8036225255289,-72,103
3718,Punta Gorda,FL,2009-02-15,2009-12-24,362,1.112,1.172,2.716,1.73,3.24,8.454,6.69,8.85,9.222,1.428,0.67,2.338,1.112,1.172,2.716,1.73,3.24,8.454,6.69,8.85,9.222,1.428,0.67,2.338,0,0,0,0,0,0,0,0,0,0,0,0,63.55,64.83,68.82,72.43,77.63,81.48,82.64,82.83,81.65,76.51,70.53,65.14,10.71,-82.039964391209,26.9063735991776,-67,79
3727,Englewood,FL,2009-02-11,2009-12-28,361,1.63,1.146,3.16,1.67,2.724,7.09,6.308,7.77,7.546,1.436,0.842,2.022,1.63,1.146,3.16,1.67,2.724,7.09,6.308,7.77,7.546,1.436,0.842,2.022,0,0,0,0,0,0,0,0,0,0,0,0,62.51,63.72,67.89,71.41,76.87,80.95,82.33,82.53,81.15,75.59,69.86,64.19,7.13,-82.2916551174285,26.9466461217805,-71,83
3726,Venice,FL,2009-02-11,2009-12-28,364,2.182,1.102,3.626,1.628,2.08,5.466,5.754,6.524,5.636,1.482,1.042,1.652,2.182,1.102,3.626,1.628,2.08,5.466,5.754,6.524,5.636,1.482,1.042,1.652,0,0,0,0,0,0,0,0,0,0,0,0,62.4,63.64,67.85,71.37,76.86,80.91,82.29,82.51,81.14,75.56,69.8,64.12,7.02,-82.3670855798558,27.04975623917,-71,83
3728,North Port,FL,2009-02-11,2009-12-28,362,1.892,1.128,3.376,1.646,2.438,6.348,6.072,7.17,6.664,1.444,0.93,1.85,1.892,1.128,3.376,1.646,2.438,6.348,6.072,7.17,6.664,1.444,0.93,1.85,0,0,0,0,0,0,0,0,0,0,0,0,62.94,64.23,68.34,71.91,77.24,81.18,82.45,82.67,81.41,76.05,70.13,64.61,7.63,-82.2471134476712,27.0561297455683,-71,83
3732,Stuart,FL,2009-02-25,2009-12-30,365,1.154,1.986,4.28,2.84,5.268,7.074,5.158,7.668,7.778,3.44,1.99,4.048,1.154,1.986,4.28,2.84,5.268,7.074,5.158,7.668,7.778,3.44,1.99,4.048,0,0,0,0,0,0,0,0,0,0,0,0,64.5,65,68.6,72.3,76.8,80.4,81.8,82.2,81.3,77.1,71.6,66.6,8.94,-80.2531282076175,27.0957265452217,-57,85
3729,Osprey,FL,2009-02-11,2009-12-28,362,2.318,1.082,3.738,1.63,1.89,5.074,5.58,6.22,5.134,1.5,1.1,1.562,2.318,1.082,3.738,1.63,1.89,5.074,5.58,6.22,5.134,1.5,1.1,1.562,0,0,0,0,0,0,0,0,0,0,0,0,62.32,63.58,67.8,71.32,76.83,80.88,82.25,82.47,81.12,75.52,69.74,64.06,8.74,-82.4798538293401,27.1910647150186,-71,83
3555,Arcadia,FL,2009-03-12,2009-12-09,365,1.61,1.096,3.062,1.614,2.976,7.462,6.246,7.944,7.742,1.264,0.74,2.002,1.61,1.096,3.062,1.614,2.976,7.462,6.246,7.944,7.742,1.264,0.74,2.002,0,0,0,0,0,0,0,0,0,0,0,0,60.62,61.72,65.83,70.05,75.92,80.03,81.15,81.2,79.88,74.62,67.85,62.5,52.23,-81.8088197574533,27.1929027245375,-42,64
3507,Falfurrias,TX,2009-03-20,2009-11-24,359,2.446,0.652,0.728,1.15,2.106,4.306,3.336,2.136,4.87,1.538,0.926,1.374,2.446,0.65,0.728,1.15,2.106,4.306,3.336,2.136,4.87,1.538,0.926,1.374,0,0.02,0,0,0,0,0,0,0,0,0,0,55.8,59.6,66.7,72.8,79,83.4,85.1,84.8,81.1,73.6,64.8,57.8,141.46,-98.2444139316118,27.2175974562679,-34,49
3596,Sarasota,FL,2009-03-09,2009-12-15,362,2.304,1.074,3.728,1.63,1.866,5.054,5.534,6.2,5.126,1.504,1.098,1.556,2.304,1.074,3.728,1.63,1.866,5.054,5.534,6.2,5.126,1.504,1.098,1.556,0,0,0,0,0,0,0,0,0,0,0,0,61.99,63.37,67.6,71.13,76.72,80.77,82.08,82.31,81.03,75.37,69.5,63.83,17.65,-82.473127841455,27.2839896809716,-45,70
3731,Port St Lucie,FL,2009-02-25,2009-12-30,365,1.398,1.188,4.208,2.142,4.526,5.618,5.19,7.028,6.636,3.228,1.724,2.894,1.398,1.188,4.208,2.142,4.526,5.618,5.19,7.028,6.636,3.228,1.724,2.894,0,0,0,0,0,0,0,0,0,0,0,0,63.97,64.58,68.26,72.05,76.72,80.37,81.77,82.06,81.13,76.9,71.26,66.09,9.7,-80.2971998632576,27.2949049546364,-57,85
3607,Braden River,FL,2009-02-24,2009-12-17,362,2.3,1.072,3.724,1.63,1.86,5.048,5.522,6.2,5.126,1.506,1.096,1.554,2.3,1.072,3.724,1.63,1.86,5.048,5.522,6.2,5.126,1.506,1.096,1.554,0,0,0,0,0,0,0,0,0,0,0,0,61.6,62.99,67.19,70.7,76.39,80.6,81.9,82.1,80.8,75,69.2,63.5,15.96,-82.5076383567296,27.4428424418277,-58,72
3723,Fort Pierce,FL,2009-02-28,2009-12-25,361,1.424,1.034,4.2,2.03,4.416,5.356,5.182,6.906,6.428,3.196,1.676,2.686,1.424,1.034,4.2,2.03,4.416,5.356,5.182,6.906,6.428,3.196,1.676,2.686,0,0,0,0,0,0,0,0,0,0,0,0,62.91,63.75,67.6,71.53,76.51,80.32,81.71,81.76,80.78,76.49,70.58,65.05,16.39,-80.3765658985574,27.4488658351662,-54,80
3608,Bradenton,FL,2009-02-24,2009-12-17,364,2.312,1.08,3.736,1.63,1.884,5.06,5.566,6.216,5.132,1.502,1.098,1.558,2.312,1.08,3.736,1.63,1.884,5.06,5.566,6.216,5.132,1.502,1.098,1.558,0,0,0,0,0,0,0,0,0,0,0,0,61.6,63,67.2,70.7,76.4,80.6,81.9,82.1,80.8,75,69.2,63.5,15.38,-82.6291509894401,27.4496156405873,-58,72
3509,Kingsville,TX,2009-03-19,2009-11-25,363,2.494,0.632,0.748,1.164,2.19,4.324,3.406,2.182,4.96,1.512,0.922,1.34,2.494,0.63,0.748,1.164,2.19,4.324,3.406,2.182,4.96,1.512,0.922,1.34,0,0.016,0,0,0,0,0,0,0,0,0,0,56.27,59.84,66.5,72.39,78.17,82.74,84.65,84.69,81.21,73.91,65.13,58.17,56.13,-97.7113434710952,27.4710480005096,-35,50
3558,Sebring,FL,2009-03-06,2009-12-12,363,2.508,1.154,4.044,1.596,4.302,6.28,5.844,7.694,6.078,1.834,1.058,2.062,2.508,1.154,4.044,1.596,4.302,6.28,5.844,7.694,6.078,1.834,1.058,2.062,0,0,0,0,0,0,0,0,0,0,0,0,60.57,62.24,66.56,70.64,76.17,79.87,81.09,81.04,79.64,74.07,68.26,62.56,117.55,-81.5306784287066,27.5142174649836,-48,67
3557,Wauchula,FL,2009-03-07,2009-12-11,366,2.736,1.128,3.956,1.47,3.696,6.18,6.114,7.792,5.464,0.93,0.85,1.494,2.736,1.128,3.956,1.47,3.696,6.18,6.114,7.792,5.464,0.93,0.85,1.494,0,0,0,0,0,0,0,0,0,0,0,0,60.85,62.07,66.28,70.51,76.2,80.29,81.47,81.66,80.27,74.71,68.19,62.65,93.13,-81.789298442999,27.5583079764455,-47,66
3559,Avon Park,FL,2009-03-06,2009-12-12,364,2.762,1.122,3.958,1.47,4.102,6.408,5.92,7.896,5.822,1.236,0.828,1.73,2.762,1.122,3.958,1.47,4.102,6.408,5.92,7.896,5.822,1.236,0.828,1.73,0,0,0,0,0,0,0,0,0,0,0,0,60.59,62.32,66.63,70.78,76.3,79.95,81.16,81.09,79.69,74.1,68.28,62.58,121.43,-81.3701032417012,27.5958859624101,-48,67
3721,Vero Beach,FL,2009-02-25,2009-12-25,362,1.422,1.026,4.206,2.03,4.42,5.34,5.176,6.898,6.418,3.198,1.676,2.68,1.422,1.026,4.206,2.03,4.42,5.34,5.176,6.898,6.418,3.198,1.676,2.68,0,0,0,0,0,0,0,0,0,0,0,0,62.67,63.62,67.48,71.22,76.01,80.04,81.4,81.37,80.4,76.02,70.19,64.47,16.5,-80.6756368715266,27.6386251351358,-57,80
3602,Wimauma,FL,2009-03-03,2009-12-16,364,2.926,1.496,4.196,1.758,2.974,6.02,7.436,6.782,5.22,1.36,1.268,1.754,2.926,1.496,4.196,1.758,2.974,6.02,7.436,6.782,5.22,1.36,1.268,1.754,0,0,0,0,0,0,0,0,0,0,0,0,60.8,61.9,65.9,70,75.4,79.9,81,81.4,80.4,74.9,68.5,62.8,43.96,-82.2837818725517,27.6847181120123,-51,71
3722,Sebastian,FL,2009-02-25,2009-12-25,363,1.438,1.034,4.194,2.016,4.396,5.35,5.2,6.912,6.424,3.19,1.672,2.676,1.438,1.034,4.194,2.016,4.396,5.35,5.2,6.912,6.424,3.19,1.672,2.676,0,0,0,0,0,0,0,0,0,0,0,0,61.95,63.03,67.03,70.58,75.48,79.25,80.72,80.81,79.71,75.14,69.49,63.85,14.15,-80.4847786035164,27.7884750344396,-57,80
3657,Saint Petersburg,FL,2009-01-29,2010-01-08,362,2.794,1.502,4.308,1.47,3.21,5.07,7.668,6.818,5.62,1.348,1.09,1.662,2.794,1.502,4.308,1.47,3.21,5.07,7.668,6.818,5.62,1.348,1.09,1.662,0,0,0,0,0,0,0,0,0,0,0,0,61.7,63,67.5,72.3,78.3,82.2,83.4,83.4,82,76.5,69.8,63.7,26.76,-82.6774281516958,27.7887444075231,-84,94
3654,St Petersburg,FL,2009-01-29,2010-01-08,361,3.202,1.492,4.172,1.75,3.24,6.384,8.422,7.552,5.61,1.04,1.272,1.87,3.202,1.492,4.172,1.75,3.24,6.384,8.422,7.552,5.61,1.04,1.272,1.87,0,0,0,0,0,0,0,0,0,0,0,0,61.7,63,67.5,72.3,78.3,82.2,83.4,83.4,82,76.5,69.8,63.7,21.73,-82.7289882329245,27.8173641282288,-84,94
3642,Gibsonton,FL,2009-02-24,2009-12-22,364,3.118,1.596,4.262,1.952,3.188,6.832,7.512,6.824,4.916,1.37,1.394,1.812,3.118,1.596,4.262,1.952,3.188,6.832,7.512,6.824,4.916,1.37,1.394,1.812,0,0,0,0,0,0,0,0,0,0,0,0,61.1,62.44,66.82,70.88,76.62,80.7,81.79,81.99,80.89,75.21,68.73,62.99,29.37,-82.3760685828308,27.8233208555992,-58,77
3653,Pinellas Park,FL,2009-01-29,2010-01-08,362,3.38,1.486,4.112,1.864,3.256,6.946,8.768,7.886,5.622,0.9,1.348,1.96,3.38,1.486,4.112,1.864,3.256,6.946,8.768,7.886,5.622,0.9,1.348,1.96,0,0,0,0,0,0,0,0,0,0,0,0,61.7,63,67.5,72.3,78.3,82.2,83.4,83.4,82,76.5,69.8,63.7,22.9,-82.7153046251679,27.8390139259684,-84,94
3588,Bartow,FL,2009-02-27,2009-12-14,364,2.774,1.004,3.914,1.328,4.32,6.444,5.874,8.524,5.686,0.644,0.646,1.41,2.774,1.004,3.914,1.328,4.32,6.444,5.874,8.524,5.686,0.644,0.646,1.41,0,0,0,0,0,0,0,0,0,0,0,0,62.12,63.76,68.19,72.21,77.77,81.56,82.73,82.9,81.41,75.56,69.31,63.66,119.34,-81.8120177691126,27.8671468795534,-55,69
3650,Palm Bay,FL,2009-02-25,2009-12-23,362,2.194,1.424,3.952,1.44,3.558,5.646,6.184,7.396,6.392,2.91,1.636,2.624,2.194,1.424,3.952,1.44,3.558,5.646,6.184,7.396,6.392,2.91,1.636,2.624,0,0,0,0,0,0,0,0,0,0,0,0,60.9,61.9,66.2,70.3,75.7,79.9,81.2,81.4,80,75.4,69.2,63.2,22.71,-80.6554201894546,27.9007652665788,-57,78
3524,Brandon,FL,2009-03-10,2009-11-30,366,3.08,1.488,4.188,1.896,3.422,7.006,7.078,7.142,4.942,1.238,1.284,1.738,3.08,1.488,4.188,1.896,3.422,7.006,7.078,7.142,4.942,1.238,1.284,1.738,0,0,0,0,0,0,0,0,0,0,0,0,61.09,62.58,66.87,70.78,76.37,80.29,81.49,81.5,80.3,74.61,68.11,62.7,57.31,-82.2931649484788,27.9092105013271,-44,55
3259,Laredo,TX,2009-03-12,2009-11-17,333,0.938,0.314,0.268,0.802,2.39,3.288,1.142,1.814,2.946,0.384,0.234,1.104,0.938,0.314,0.268,0.802,2.39,3.288,1.142,1.814,2.946,0.384,0.234,1.104,0,0,0,0,0,0,0,0,0,0,0,0,55.57,60.57,68.86,75.95,82.55,86.86,88.46,87.87,83.17,75.07,65.07,56.98,425.58,-99.4376571685728,27.9181744187082,-42,42
3520,Aransas Pass,TX,2009-03-04,2009-11-29,362,2.718,1.114,0.9,0.706,1.142,4.112,2.004,1.24,5.324,2.08,1.63,1.648,2.718,1.114,0.9,0.706,1.142,4.112,2.004,1.24,5.324,2.08,1.63,1.648,0,0.012,0,0,0,0,0,0,0,0,0,0,55.55,58.77,65.46,71.35,77.73,82.69,84.29,84.6,81.61,74.85,65.89,58.12,21.66,-97.1741887595167,27.9370443462379,-50,54
3531,Portland,TX,2009-03-15,2009-11-30,361,2.702,1.072,1.058,0.796,1.228,4.748,2.514,1.556,5.486,1.862,1.48,1.602,2.692,1.07,1.058,0.796,1.228,4.748,2.514,1.556,5.486,1.862,1.48,1.602,0.118,0.028,0,0,0,0,0,0,0,0,0,0,56.37,59.76,66.25,71.79,77.9,82.44,84.2,84.35,81.31,74.47,65.72,58.5,29.59,-97.2867270099198,27.938714740364,-39,55
3549,Winter Haven,FL,2009-03-12,2009-12-07,360,2.84,1.066,3.966,1.406,4.376,6.62,5.986,8.286,5.738,0.852,0.684,1.57,2.84,1.066,3.966,1.406,4.376,6.62,5.986,8.286,5.738,0.852,0.684,1.57,0,0,0,0,0,0,0,0,0,0,0,0,61.08,62.68,67.16,71.02,76.5,80.4,81.67,81.68,80.06,74.31,68.13,62.52,137.37,-81.6735477022826,27.9793980760928,-42,62
3522,Plant City,FL,2009-03-10,2009-11-30,362,2.764,0.994,3.904,1.316,4.33,6.434,5.854,8.558,5.694,0.62,0.634,1.398,2.764,0.994,3.904,1.316,4.33,6.434,5.854,8.558,5.694,0.62,0.634,1.398,0,0,0,0,0,0,0,0,0,0,0,0,61.22,62.75,67.08,71,76.61,80.5,81.71,81.72,80.49,74.77,68.25,62.8,97.59,-82.1143836525142,27.9889755258818,-44,55
3523,Seffner,FL,2009-03-10,2009-11-30,366,3.046,1.428,4.15,1.84,3.544,7,6.888,7.314,4.998,1.166,1.208,1.696,3.046,1.428,4.15,1.84,3.544,7,6.888,7.314,4.998,1.166,1.208,1.696,0,0,0,0,0,0,0,0,0,0,0,0,61.15,62.63,67.03,70.98,76.71,80.61,81.76,81.81,80.63,74.91,68.41,62.85,50.82,-82.288217579445,28.006244589914,-44,55
